Elongation [mm],Equivalent plastic strain
1.74,5.6303792
1.76,5.680586338
1.78,5.731121063
1.8,5.781661034
1.82,5.830983162
1.84,5.878867149
1.86,5.925467491
1.88,5.971008778
1.9,6.015736103
1.92,6.059718132
1.94,6.102606297
1.96,6.144338608
1.98,6.184855938
2.0,6.22399807
