Elongation [mm],Equivalent plastic strain
0.2604,3.69273448
0.252,3.696443081
0.2436,3.700137615
0.2352,3.703817368
0.2268,3.707486153
0.2184,3.711138725
0.21,3.714775324
0.2016,3.718398333
0.1932,3.722005367
0.1848,3.725594997
0.1764,3.729169369
0.168,3.732722282
0.1596,3.73625803
0.1512,3.739776373
0.1428,3.743277788
0.1344,3.746759415
0.126,3.750224113
0.1176,3.753670216
0.1092,3.757100105
0.1008,3.760513067
0.0924,3.763907433
0.084,3.767285347
0.0756,3.770644665
0.0672,3.773984909
0.0588,3.777305126
0.0504,3.780609608
0.042,3.783896446
0.0336,3.787164211
0.0252,3.79041481
0.0168,3.793644905
0.0084,3.796859264
0.0,3.800051928
0.0084,3.800051928
0.0168,3.800051928
0.0252,3.800051928
0.0336,3.800051928
0.042,3.800051928
0.0504,3.800051928
0.0588,3.800051928
0.0672,3.801145554
0.0756,3.802890062
0.084,3.80474329
0.0924,3.806705952
0.1008,3.808789492
0.1092,3.811007977
0.1176,3.813381195
0.126,3.81592226
0.1344,3.818639517
0.1428,3.82152915
0.1512,3.824581623
0.1596,3.827781916
0.168,3.831118584
0.1764,3.834570408
0.1848,3.83812499
0.1932,3.841769695
0.2016,3.845491886
0.21,3.849279881
0.2184,3.853127003
0.2268,3.857023954
0.2352,3.860963345
0.2436,3.864943266
0.252,3.868956327
0.2604,3.872999191
0.2688,3.877069473
0.2772,3.881164312
0.2856,3.885283947
0.294,3.889426231
0.3024,3.893589258
0.3108,3.897771835
0.3192,3.901972771
0.3276,3.906191826
0.336,3.910428524
0.3444,3.914681911
0.3528,3.918952227
0.3612,3.923239231
0.3696,3.92754221
0.378,3.931860924
0.3864,3.936196327
0.3948,3.940548658
0.4032,3.944915771
0.4116,3.949300766
0.42,3.953701735
0.4284,3.958119869
0.4368,3.962555408
0.4452,3.967009068
0.4536,3.971480608
0.462,3.975970268
0.4704,3.980479956
0.4788,3.985009193
0.4872,3.989558935
0.4956,3.994129181
0.504,3.998721123
0.5124,4.003334522
0.5208,4.007971764
0.5292,4.01263237
0.5376,4.017317772
0.546,4.022027969
0.5544,4.02676487
0.5628,4.031528473
0.5712,4.036319733
0.5796,4.041140556
0.588,4.045990944
0.5964,4.050873756
0.6048,4.05578804
0.6132,4.060736179
0.6216,4.065718651
