Elongation [mm],Equivalent plastic strain
0.522,0.533230186
0.528,0.535598159
0.534,0.538011372
0.54,0.540470839
0.546,0.542976856
0.552,0.54553026
0.558,0.548131764
0.564,0.550781965
0.57,0.553481579
0.576,0.55623126
0.582,0.559031725
0.588,0.561883569
0.594,0.564787269
0.6,0.567743778
0.594,0.567743778
0.588,0.567743778
0.582,0.567743778
0.576,0.567743778
0.57,0.567743778
0.564,0.567743778
0.558,0.567743778
0.552,0.567743778
0.546,0.567743778
0.54,0.567743778
0.534,0.568121076
0.528,0.568920374
0.522,0.569780886
0.516,0.570694089
0.51,0.57165426
0.504,0.572657943
0.498,0.573702633
0.492,0.574786723
0.486,0.57590878
0.48,0.577067614
0.474,0.578261852
0.468,0.579490542
0.462,0.580751896
0.456,0.582044005
0.45,0.583364606
0.444,0.584710419
0.438,0.586078167
0.432,0.587461948
0.426,0.588853121
0.42,0.590240896
0.414,0.591610491
0.408,0.59296304
0.402,0.594303071
0.396,0.595634222
0.39,0.59695673
0.384,0.598270178
0.378,0.599574447
0.372,0.600869417
0.366,0.602154016
0.36,0.603428006
0.354,0.604690969
0.348,0.605942488
0.342,0.607182086
0.336,0.608409345
0.33,0.609623432
0.324,0.610825062
0.318,0.612013221
0.312,0.61318785
0.306,0.614348769
0.3,0.615495741
0.294,0.616628945
0.288,0.617747903
0.282,0.618852556
0.276,0.619943261
0.27,0.621019363
0.264,0.62208128
0.258,0.623129189
0.252,0.624162674
0.246,0.625182033
0.24,0.626187205
0.234,0.627178431
0.228,0.62815547
0.222,0.629118621
0.216,0.630067825
0.21,0.631003022
0.204,0.631924212
0.198,0.632831931
0.192,0.633725882
0.186,0.634606183
0.18,0.635473967
0.174,0.63632834
0.168,0.637170315
0.162,0.637999177
0.156,0.638816118
0.15,0.639620662
0.144,0.640412927
0.138,0.641193509
0.132,0.64196229
0.126,0.642719269
0.12,0.643465042
0.114,0.644199729
0.108,0.644923031
0.102,0.645636022
0.096,0.646338224
0.09,0.647030473
0.084,0.64771235
0.078,0.648384631
0.072,0.649047375
0.066,0.64970094
0.06,0.650345325
0.054,0.65098083
0.048,0.651607931
0.042,0.652226806
0.036,0.652837753
0.03,0.65344131
0.024,0.654037595
0.018,0.654626966
0.012,0.655209839
0.006,0.655786633
0,0.656357765
0.006,0.656357765
0.012,0.656357765
0.018,0.656357765
0.024,0.656357765
0.03,0.656357765
0.036,0.656357765
0.042,0.656357765
0.048,0.656357765
0.054,0.656357765
0.06,0.656357765
0.066,0.656357765
0.072,0.656357765
0.078,0.656357765
0.084,0.656628251
0.09,0.657166481
0.096,0.657733798
0.102,0.658326745
0.108,0.658943295
0.114,0.65958178
0.12,0.660240889
0.126,0.660919666
0.132,0.661616683
0.138,0.66232878
0.144,0.663047194
0.15,0.663760543
0.156,0.664474308
0.162,0.665192306
0.168,0.66591686
0.174,0.666649103
0.18,0.667390466
0.186,0.668142259
0.192,0.668905258
0.198,0.669679463
0.204,0.67046684
0.21,0.671269119
0.216,0.672087848
0.222,0.672923923
0.228,0.673778534
0.234,0.674653351
0.24,0.675548911
0.246,0.676466286
0.252,0.677406549
0.258,0.678370833
0.264,0.679359615
0.27,0.680373907
0.276,0.681414425
0.282,0.682482243
0.288,0.683577538
0.294,0.684701502
0.3,0.685854673
0.306,0.687037647
0.312,0.688251019
0.318,0.689495325
0.324,0.690771341
0.33,0.692079246
0.336,0.693419695
0.342,0.694793105
0.348,0.696200132
0.354,0.697641134
0.36,0.699116707
0.366,0.700627148
0.372,0.702172995
0.378,0.703754425
0.384,0.705372214
0.39,0.707026303
0.396,0.708717108
0.402,0.710445225
0.408,0.712210894
0.414,0.714014351
0.42,0.715856135
0.426,0.717736483
0.432,0.719655991
0.438,0.721615016
0.444,0.723613858
0.45,0.725652993
0.456,0.727732897
0.462,0.729853988
0.468,0.732016921
0.474,0.734221935
0.48,0.736469746
0.486,0.738761067
0.492,0.741096258
0.498,0.743476033
0.504,0.745900989
0.51,0.74837172
0.516,0.750888884
0.522,0.753453135
0.528,0.756065309
0.534,0.758725643
0.54,0.761435091
0.546,0.764194131
0.552,0.767003357
0.558,0.769863605
0.564,0.772775173
0.57,0.775739014
0.576,0.778755307
0.582,0.781824648
0.588,0.784947753
0.594,0.788124621
0.6,0.791356206
0.594,0.791356206
0.588,0.791356206
0.582,0.791356206
0.576,0.791356206
0.57,0.791356206
0.564,0.791356206
0.558,0.791356206
0.552,0.791356206
0.546,0.791356206
0.54,0.791356206
0.534,0.791919231
0.528,0.792763412
0.522,0.793672323
0.516,0.794637442
0.51,0.795653582
0.504,0.796717465
0.498,0.797827005
0.492,0.79898119
0.486,0.800178766
0.48,0.801419139
0.474,0.802701235
0.468,0.804024279
0.462,0.805386901
0.456,0.806787133
0.45,0.808223367
0.444,0.80969286
0.438,0.811192453
0.432,0.812719464
0.426,0.814269423
0.42,0.815837502
0.414,0.817418396
0.408,0.819003224
0.402,0.820582628
0.396,0.822143555
0.39,0.823684096
0.384,0.82520771
0.378,0.826718211
0.372,0.828215241
0.366,0.829699278
0.36,0.831169248
0.354,0.832625329
0.348,0.834066927
0.342,0.835493565
0.336,0.836905003
0.33,0.838300705
0.324,0.839680612
0.318,0.841044247
0.312,0.84239161
0.306,0.843722343
0.3,0.845036447
0.294,0.846333742
0.288,0.847614288
0.282,0.848877788
0.276,0.85012418
0.27,0.851354122
0.264,0.852567017
0.258,0.853763103
0.252,0.854942799
0.246,0.856105447
0.24,0.857251763
0.234,0.858382046
0.228,0.859495878
0.222,0.860593796
0.216,0.86167556
0.21,0.862742066
0.204,0.863792717
0.198,0.864827871
0.192,0.865848184
0.186,0.866853416
0.18,0.867843747
0.174,0.868819356
0.168,0.869780779
0.162,0.870727539
0.156,0.871660352
0.15,0.87257874
0.144,0.873483658
0.138,0.874374568
0.132,0.875251651
0.126,0.876115561
0.12,0.876966596
0.114,0.877804458
0.108,0.878629684
0.102,0.879442573
0.096,0.880243361
0.09,0.881031752
0.084,0.881808281
0.078,0.882573187
0.072,0.883327007
0.066,0.884069204
0.06,0.884800017
0.054,0.885520041
0.048,0.886229277
0.042,0.886927664
0.036,0.8876158
0.03,0.888293624
0.024,0.888961554
0.018,0.88961947
0.012,0.890268087
0.006,0.89090687
0,0.891536236
0.006,0.891536236
0.012,0.891536236
0.018,0.891536236
0.024,0.891536236
0.03,0.891536236
0.036,0.891536236
0.042,0.891536236
0.048,0.891536236
0.054,0.891536236
0.06,0.891536236
0.066,0.891536236
0.072,0.891536236
0.078,0.891536236
0.084,0.891827345
0.09,0.892380238
0.096,0.892965913
0.102,0.89358145
0.108,0.894224882
0.114,0.894894361
0.12,0.895589113
0.126,0.896308422
0.132,0.897051394
0.138,0.897817135
0.144,0.898604393
0.15,0.899407506
0.156,0.90021956
0.162,0.901031911
0.168,0.901849747
0.174,0.902675807
0.18,0.903512895
0.186,0.904362738
0.192,0.905227184
0.198,0.906107068
0.204,0.907003582
0.21,0.907918453
0.216,0.908851981
0.222,0.909805536
0.228,0.910779476
0.234,0.911774576
0.24,0.912792504
0.246,0.913834035
0.252,0.914900303
0.258,0.915992022
0.264,0.917110324
0.27,0.918255568
0.276,0.919428647
0.282,0.920630336
0.288,0.921861172
0.294,0.923121691
0.3,0.924412727
0.306,0.925734937
0.312,0.927088618
0.318,0.928474426
0.324,0.929892898
0.33,0.93134439
0.336,0.93282944
0.342,0.934348702
0.348,0.935902357
0.354,0.93749088
0.36,0.939115047
0.366,0.940775394
0.372,0.9424721
0.378,0.944205403
0.384,0.945976317
0.39,0.94778502
0.396,0.949631691
0.402,0.951516926
0.408,0.953441322
0.414,0.955405295
0.42,0.957409143
0.426,0.959453523
0.432,0.961538851
0.438,0.963665366
0.444,0.965833783
0.45,0.968044519
0.456,0.970297813
0.462,0.9725945
0.468,0.974935114
0.474,0.977319956
0.48,0.979749978
0.486,0.982225657
0.492,0.984747291
0.498,0.987315893
0.504,0.989932001
0.51,0.99259609
0.516,0.995308995
0.522,0.998071074
0.528,1.000883102
0.534,1.003745556
0.54,1.006659269
0.546,1.009624481
0.552,1.012641788
0.558,1.015711784
0.564,1.018835068
0.57,1.022011757
0.576,1.025242329
0.582,1.02852726
0.588,1.031867027
0.594,1.035261393
0.6,1.038710833
0.594,1.038710833
0.588,1.038710833
0.582,1.038710833
0.576,1.038710833
0.57,1.038710833
0.564,1.038710833
0.558,1.038710833
0.552,1.038710833
0.546,1.038710833
0.54,1.038710833
