panel zone shear distortion (rad),panel zone shaer force (kN)
-0.002091857,471.0117977
-0.001403467,808.5702528
-0.000531237,1044.076152
0.000179068,1208.930281
0.001378131,1397.335
0.00234801,1522.938146
0.003107636,1601.440112
0.00384833,1664.241685
0.004672392,1711.342865
0.005985212,1781.994635
0.006643531,1797.695028
0.007078314,1797.695028
0.007321778,1766.294242
0.007469583,1719.193062
0.007286895,1546.488736
0.006983967,1295.282444
0.006687682,1028.375758
0.006630047,832.1208427
0.006274974,643.7161236
0.005703166,211.955309
0.005077383,-243.3560955
0.004763994,-439.6110112
0.004246996,-698.6675
0.003707246,-934.1733988
0.002954421,-1240.331067
0.001922096,-1460.136573
0.000993902,-1593.589916
2.96717E-05,-1672.091882
-0.000624829,-1727.043258
-0.001803129,-1813.395421
-0.003522332,-1860.496601
-0.004459157,-1852.646404
-0.005293681,-1844.796208
-0.005572187,-1821.245618
-0.005838402,-1766.294242
-0.005171929,-1256.031461
-0.004763875,-981.2745786
-0.004394681,-675.1169101
-0.004053888,-392.5098314
-0.003668585,-94.20235955
-0.003304046,102.0525562
-0.002882707,345.4086517
-0.002594893,541.6635674
-0.002325019,659.4165168
-0.001987884,769.3192696
-0.001746409,863.5216292
-0.001504934,957.7239887
-0.001017171,1044.076152
-0.000554983,1130.428315
-0.000195097,1216.780477
0.000327708,1310.982837
0.000876089,1405.185197
0.001670757,1491.53736
0.002309149,1554.338933
0.002877457,1601.440112
0.003483631,1679.942079
0.004205392,1727.043258
0.004754767,1758.444045
0.005355292,1789.844831
0.006067587,1829.095815
0.006642537,1860.496601
0.007182445,1884.047191
0.00768067,1915.447977
0.009240772,1915.447977
0.012276613,1993.949944
0.013455908,2017.500534
0.014421132,2033.200927
0.015530343,2041.051124
0.015945357,1876.196994
0.01508673,1185.379691
0.014851062,926.3232022
0.014495989,737.9184831
0.014069997,384.6596348
0.013814401,172.7043258
0.013300227,-62.80157303
0.01280598,-345.4086517
0.012228365,-612.3153371
0.011401638,-894.9224157
0.010324804,-1130.428315
0.009265909,-1287.432247
0.007753298,-1460.136573
0.006227402,-1601.440112
0.004528126,-1695.642472
0.002283294,-1860.496601
0.000413462,-1884.047191
-0.003241838,-2009.650337
-0.007510949,-2135.253483
-0.009188468,-2190.204859
-0.00986572,-2221.605646
-0.010604584,-2198.055056
-0.011168238,-2135.253483
-0.011265886,-2025.35073
-0.010921274,-1781.994635
-0.010329538,-1397.335
-0.009711392,-863.5216292
-0.009009876,-345.4086517
-0.008600828,-133.4533427
-0.008685191,-54.9513764
-0.008657786,31.40078652
-0.008384093,109.9027528
-0.008014741,204.1051124
-0.007834877,353.2588483
-0.007488276,471.0117977
-0.007129385,620.1655337
-0.006821644,769.3192696
-0.006274258,926.3232022
-0.005295907,1122.578118
-0.004773102,1216.780477
-0.004129062,1326.68323
-0.002966871,1420.88559
-0.001559386,1570.039326
0.002209512,1789.844831
0.004995248,1915.447977
0.006493738,1970.399354
0.009043646,2048.90132
0.010542137,2103.852697
0.011944968,2143.10368
0.012744449,2127.403286
0.013477665,2056.751517
0.013654863,1970.399354
0.013459885,1766.294242
0.013138024,1499.387556
0.012806697,1224.630674
0.012101363,745.7686798
0.011646971,368.9592416
0.011185937,7.850196629
0.010586565,-298.3074719
0.010027882,-549.513764
0.009377359,-855.6714326
0.008412293,-1083.327135
0.007421652,-1310.982837
0.005964011,-1522.938146
0.00435757,-1624.990702
0.002057769,-1750.593848
-0.001906266,-1962.549157
-0.004305546,-2064.601713
-0.006152626,-2111.702893
-0.007874653,-2182.354663
-0.008858811,-2213.755449
-0.010744751,-2229.455843
-0.011665468,-2229.455843
-0.012142929,-2158.804073
-0.011968873,-1844.796208
-0.010914273,-1012.675365
-0.0096001,-219.8055056
-0.009201513,47.10117977
-0.008307685,533.8133708
