panel zone shear distortion* (rad),panel zone shear force (kN)
0.018532071,-1996.655678
0.01567617,-2479.507051
0.011373481,-2844.90809
0.006867749,-3079.808758
0.000749304,-3275.559315
-0.006765791,-3419.109723
-0.012462637,-3601.810242
-0.018525959,-3601.810242
-0.024046354,-3693.160502
-0.0287025,-3732.310614
-0.029996381,-3680.110465
-0.029806912,-3445.209797
-0.030107739,-3053.708684
-0.029928795,-2831.858053
-0.029409969,-2570.857311
-0.029404984,-2309.856569
-0.02912078,-1957.505567
-0.028794472,-1552.954416
-0.028436585,-1109.253154
-0.028099751,-691.6519668
-0.027773442,-287.1008164
-0.026970412,326.2509278
-0.025416427,978.7527833
-0.025029454,1331.103785
-0.024313125,1709.554861
-0.023112041,2179.356197
-0.021584093,2544.757237
-0.018843979,2884.058201
-0.01641217,3223.359166
-0.0126549,3549.610094
-0.007400705,3693.160502
0.00187696,4110.76169
0.012641024,4332.612321
0.022150819,4528.362877
0.025697567,4593.613063
0.028337961,4554.462951
0.028654299,4437.012617
0.028883935,4084.661616
0.028323561,3262.509278
0.028719122,2988.458498
0.028121628,2375.106754
0.027816372,1996.655678
0.027550728,1539.904379
0.027182315,1083.15308
0.026803376,613.3517442
0.026453523,52.20014844
0.025529165,-456.7512989
0.025007847,-848.2524122
0.023920057,-1305.003711
0.023143064,-1631.254639
0.022036714,-1983.605641
0.018018786,-2505.607125
0.014683115,-2818.808016
0.010609507,-3027.60861
0.003350087,-3236.409203
-0.003980524,-3406.059686
-0.010344117,-3523.51002
-0.019861945,-3601.810242
-0.023912007,-3654.010391
