rotation (rad),moment (kN.m)
-0.0031665,-112.51
-0.0031891,-113.2
-0.003216,-114.03
-0.0032345,-114.6
-0.0032342,-114.6
-0.0032418,-114.83
-0.0032522,-115.15
-0.0032648,-115.54
-0.0032306,-114.48
-0.0032234,-114.26
-0.0032481,-115.02
-0.0032246,-114.3
-0.0032512,-115.12
-0.0032402,-114.78
-0.0032536,-115.19
-0.0032522,-115.15
-0.0032479,-115.02
-0.0032349,-114.62
-0.0032396,-114.76
-0.0032274,-114.39
-0.003249,-114.91
-0.0032524,-115.04
-0.0032476,-114.86
-0.0032393,-114.54
-0.0032326,-114.29
-0.0032208,-113.85
-0.0032523,-115.03
-0.0032367,-114.45
-0.0032474,-114.85
-0.0032461,-114.8
-0.0032565,-115.19
-0.0032155,-113.65
-0.0032158,-113.66
-0.0032084,-113.38
-0.0030452,-107.25
-0.0030324,-106.76
-0.0029609,-104.08
-0.0029535,-103.8
-0.0029296,-102.9
-0.0028778,-100.95
-0.0028004,-98.04
-0.0027948,-97.83
-0.0027042,-94.423
-0.0026795,-93.494
-0.0026618,-92.828
-0.0025595,-88.981
-0.0024072,-83.254
-0.0023434,-80.855
-0.0022741,-78.249
-0.0022816,-78.531
-0.0022607,-77.745
-0.0020748,-70.755
-0.0020656,-70.409
-0.0020573,-70.097
-0.0019935,-67.698
-0.0019485,-66.005
-0.0018977,-64.095
-0.0017642,-59.075
-0.0017502,-58.549
-0.001718,-57.338
-0.0016841,-56.063
-0.0016758,-55.751
-0.0016477,-54.694
-0.0015494,-50.998
-0.0015377,-50.469
-0.0015297,-48.945
-0.0014857,-48.351
-0.0014569,-46.317
-0.0012743,-40.653
-0.0012122,-37.979
-0.0011485,-38.237
-0.0011082,-36.305
-0.0010419,-35.456
-0.0010451,-34.936
-0.00081562,-26.616
-0.00077482,-27.784
-0.00074284,-25.788
-0.00069256,-23.813
-0.00060897,-22.071
-0.00059277,-20.313
-0.00039843,-13.822
-0.00032896,-13.105
-0.00028549,-11.502
-0.00023565,-11.747
-0.00021646,-11.087
-0.00019771,-9.6994
-9.02e-05,-6.7454
-6.65e-05,-6.5023
-6.51e-05,-4.9538
-4.69e-05,-3.8142
3.96e-06,-3.9043
0.00012746,1.3981
0.0001829,2.3412
0.00020805,3.1497
0.00025773,4.7487
0.00027908,4.2198
0.00028623,4.5414
0.00040146,9.4561
0.00052331,11.236
0.00056458,12.832
0.00059257,14.268
0.00063826,15.341
0.00071205,17.727
0.00092617,25.054
0.0010179,26.868
0.0010591,28.126
0.001134,29.798
0.0011294,29.408
0.0011515,30.163
0.0013171,36.034
0.001329,34.431
0.001357,35.506
0.0014313,37.409
0.0014491,39.54
0.0014965,40.929
0.0016488,44.392
0.0016451,45.502
0.0017737,48.201
0.0017825,47.332
0.0017814,47.335
0.0018971,52.291
0.0019689,53.045
0.001975,52.894
0.0020541,55.98
0.0020862,56.228
0.0021496,57.841
0.0022763,63.115
0.0024708,67.293
0.0024427,67.022
0.0025668,69.157
0.0025702,70.121
0.0025676,70.506
0.0027263,76.241
0.0027922,74.827
0.0027983,76.377
0.0028669,78.448
0.0029076,79.658
0.0029814,81.66
0.0031311,85.401
0.0031857,87.693
0.0032596,89.802
0.0032885,90.626
0.0032796,90.373
0.0033731,93.04
0.0034438,95.057
0.0034679,95.745
0.0034619,95.574
0.0034759,95.973
0.0034764,95.988
0.0034644,95.645
0.0034587,95.483
0.003455,95.377
0.0034614,95.56
0.0034727,95.882
0.0034818,96.142
0.0034586,95.48
0.0034609,95.545
0.0034507,95.254
0.0034789,96.059
0.0034583,95.471
0.0034688,95.771
0.0034479,95.174
0.0034675,95.734
0.0034763,95.985
0.0034685,95.762
0.0034558,95.4
0.0034631,95.608
0.0034646,95.651
0.0034599,95.517
0.0034499,95.231
0.003465,95.662
0.003467,95.719
0.0034543,95.357
0.0034659,95.688
0.0034743,95.928
0.0034836,96.193
0.0034772,96.01
0.0034951,96.521
0.0035035,96.761
0.0035281,97.463
0.0035306,97.534
0.0035118,96.998
0.0035306,97.534
0.0035133,97.04
0.0035133,97.04
0.003534,97.631
0.0035451,97.948
0.0035353,97.668
0.003554,98.202
0.0035495,98.073
0.0035508,98.11
0.0035695,98.644
0.0035608,98.396
0.0035732,98.749
0.0035548,98.224
0.0035599,98.37
0.0035578,98.31
0.003559,98.344
0.0035683,98.61
0.0035735,98.758
0.0035548,98.224
0.0035722,98.721
0.0035655,98.53
0.0035725,98.729
0.0035757,98.821
0.0035615,98.416
0.0035709,98.684
0.0035546,98.219
0.0035666,98.561
0.0035648,98.51
0.0035714,98.698
0.0035688,98.624
0.0035702,98.664
0.0035711,98.689
0.0035638,98.481
0.0035827,99.02
0.0035794,98.926
0.003573,98.744
0.0035807,98.963
0.0035945,99.357
0.0035675,98.587
0.0035785,98.901
0.0035795,98.929
0.0035856,99.103
0.0035829,99.026
0.0035813,98.981
0.0035863,99.123
0.0035813,98.981
0.0035865,99.129
0.0035459,97.97
0.0035725,98.729
0.0035674,98.584
0.0035709,98.684
0.0035779,98.883
0.0035828,99.023
0.0035883,99.18
0.0035795,98.929
0.0035722,98.721
0.0035767,98.849
0.0035787,98.906
0.0035747,98.792
0.0035855,99.1
0.0035856,99.103
0.0035797,98.935
0.0036004,99.525
0.0035991,99.488
0.0035979,99.454
0.0036154,99.953
0.0036071,99.717
0.0036109,99.825
0.0035967,99.42
0.003616,99.971
0.0035996,99.503
0.0035996,99.503
0.0036028,99.594
0.0035936,99.331
0.0036163,99.979
0.0035963,99.408
0.0035937,99.334
0.003594,99.343
0.0036148,99.936
0.0035872,99.149
0.0036115,99.842
0.0036139,99.911
0.0036164,99.982
0.0036267,100.28
0.0036136,99.902
0.0036194,100.07
0.0036115,99.842
0.003617,99.999
0.0036084,99.754
0.0036031,99.602
0.0036261,100.26
0.0036182,100.03
0.0036197,100.08
0.0036129,99.882
0.0036239,100.2
0.0036173,100.01
0.0035912,99.263
0.0036265,100.27
0.0036282,100.32
0.0036151,99.945
0.0036329,100.45
0.0036234,100.18
0.0036213,100.12
0.0036187,100.05
0.0035954,99.383
0.0036201,100.09
0.0036094,99.782
0.0036244,100.21
0.0036232,100.18
0.0036126,99.874
0.0036238,100.19
0.0036444,100.78
0.0036438,100.76
0.0036281,100.32
0.0036199,100.08
0.0036266,100.27
0.0036321,100.43
0.0036175,100.01
0.0036245,100.21
0.0036575,101.15
0.0036338,100.48
0.0036366,100.56
0.0036155,99.956
0.0036296,100.36
0.0036371,100.55
0.0035777,98.806
0.0034902,96.231
0.0034053,93.734
0.0032349,88.721
0.0031466,86.123
0.0029709,80.954
0.0029873,81.436
0.0028822,78.344
0.0026337,71.034
0.0024944,66.936
0.0024466,65.529
0.0022614,60.081
0.0022428,59.534
0.002128,56.156
0.0019352,50.484
0.0018369,47.592
0.001838,47.625
0.0016835,43.079
0.0015617,39.496
0.0014934,37.051
0.0011454,28.011
0.0010134,24.623
0.0009744,22.846
0.00083758,19.196
0.0007894,16.722
0.00066553,12.999
0.00051968,8.778
0.00049099,7.4624
0.00039118,2.7508
0.00034522,3.2929
0.00028184,0.77472
1.14e-05,-8.0255
-9.93e-05,-11.007
-0.0002227,-13.375
-0.00036503,-20.491
-0.00048778,-21.488
-0.00065002,-27.259
-0.00088591,-35.464
-0.0009843,-36.948
-0.0010378,-37.397
-0.0011378,-41.196
-0.0011708,-43.944
-0.0012428,-46.191
-0.0014805,-53.382
-0.0015864,-55.012
-0.001603,-55.004
-0.0018301,-61.007
-0.0019164,-64.807
-0.0020481,-70.737
-0.002329,-77.043
-0.0023822,-79.315
-0.0024913,-81.558
-0.0026217,-85.838
-0.0026576,-87.673
-0.0028307,-93.916
-0.002977,-96.383
-0.0030352,-98.754
-0.0031379,-101.6
-0.0032664,-103.93
-0.0033636,-107.77
-0.0036882,-116.48
-0.0037565,-118.85
-0.0038463,-120.16
-0.0040364,-126.3
-0.004087,-127.67
-0.0042104,-131.03
-0.0043257,-134.17
-0.0044255,-136.88
-0.0044548,-137.68
-0.0044716,-138.14
-0.0044628,-137.9
-0.0044732,-138.18
-0.0044526,-137.62
-0.0044771,-138.29
-0.0044734,-138.19
-0.0044648,-137.95
-0.0044696,-138.08
-0.0044654,-137.97
-0.004479,-138.34
-0.0044727,-138.17
-0.0044616,-137.87
