panel zone shear distortion (rad),panel zone shear force (kN)
0.006342495,-377.2770271
0.004312896,-435.3196466
0.002346723,-479.8189883
1.27E-04,-522.3835759
-0.002346723,-566.8829176
-0.005708245,-619.1212752
-0.008752643,-661.6858628
-0.011987315,-692.6419266
-0.016934461,-735.2065143
-0.018646934,-746.8150382
-0.019978858,-754.5540541
-0.020105708,-756.4888081
-0.019788584,-622.9907831
-0.01820296,-336.6471934
-0.016934461,-145.1065489
-0.015856237,21.28229383
-0.014587738,137.3675329
-0.012748414,257.32228
-0.010782241,342.4514553
-0.009450317,390.820305
-0.008372093,415.9721068
-0.007230444,441.1239086
-0.006596195,456.6019404
-0.005200846,466.2757104
-0.004186047,485.6232502
-0.003742072,518.514068
-0.002536998,551.4048857
-2.54E-04,582.3609495
0.005708245,657.8163549
0.011479915,717.7937284
0.016046512,756.4888081
0.019027484,775.836348
0.020549683,787.4448719
0.020613108,741.0107762
0.020359408,545.6006237
0.019217759,338.5819474
0.017885835,154.7803188
0.016871036,32.89081774
0.016363636,-67.71638947
0.015348837,-145.1065489
0.014143763,-216.6924463
0.012875264,-270.8655579
0.011099366,-332.7776854
0.009196617,-402.4288289
0.006849894,-458.5366944
0.005073996,-493.3622662
0.002980973,-533.9920998
6.34E-05,-574.6219335
-0.003805497,-622.9907831
-0.008181818,-667.4901248
-0.013890063,-727.4674983
-0.019661734,-764.227824
-0.023023256,-775.836348
-0.024545455,-777.7711019
-0.02410148,-663.6206168
-0.022642706,-371.4727651
-0.021247357,-145.1065489
-0.019281184,58.04261955
-0.018012685,174.1278586
-0.016300211,263.1265419
-0.014587738,342.4514553
-0.012621564,406.2983368
-0.011226216,439.1891546
-0.009006342,487.5580042
-0.006659619,528.1878379
-0.003805497,563.0134096
-5.71E-04,609.4475052
0.002283298,648.1425849
0.00653277,681.0334027
0.010465116,725.5327443
0.015475687,768.097332
0.018900634,785.5101179
0.021501057,799.0533958
0.02384778,808.7271657
0.025243129,816.4661816
0.025369979,748.7497922
0.024862579,615.2517672
0.02384778,419.8416147
0.022515856,220.5619543
0.022071882,83.19442135
0.021120507,-38.6950797
0.019534884,-145.1065489
0.018139535,-232.1704782
0.016553911,-301.8216216
0.015095137,-361.7989952
0.013192389,-402.4288289
0.010338266,-454.6671865
0.006659619,-535.9268538
0.001966173,-586.2304574
-0.003615222,-642.338323
-0.010465116,-708.1199585
