panel zone shear distortion (rad),panel zone shear force (kN)
-1.86E-05,29.1213207
-2.74E-05,29.0658992
-1.97E-05,29.06590124
-2.71E-05,29.04666026
-2.15E-05,29.22727517
-2.45E-05,28.94788252
-2.45E-05,28.9478815
-2.23E-05,28.91658747
-2.63E-05,28.9358193
-2.15E-05,28.94788252
-2.82E-05,28.91169489
-2.04E-05,28.94788252
-2.93E-05,28.92375913
-2.01E-05,28.86116394
-3.00E-05,28.86116699
-1.93E-05,28.92375913
-2.85E-05,28.95505214
-2.04E-05,28.79367007
-2.71E-05,28.72618535
-2.15E-05,28.82496919
-2.56E-05,28.67565238
-2.45E-05,28.82497224
-2.30E-05,28.73108302
-2.56E-05,28.7623801
-2.12E-05,28.66359321
-2.85E-05,28.86833051
-2.08E-05,28.92375709
-2.96E-05,28.70695556
-1.97E-05,28.70695251
-3.00E-05,28.7816099
-1.97E-05,28.70695352
-2.89E-05,28.88756844
-2.08E-05,28.73824756
-2.78E-05,28.83703242
-2.19E-05,28.65152491
-2.56E-05,28.59610749
-2.30E-05,28.69488319
-2.41E-05,28.69488522
-2.63E-05,28.44679677
-2.19E-05,28.54556942
-2.78E-05,28.4660225
-1.97E-05,28.57686244
-2.93E-05,28.63946271
-1.97E-05,28.46602758
-3.00E-05,28.37930697
-1.97E-05,28.56480634
-2.96E-05,28.55273803
-2.08E-05,28.62022783
-2.71E-05,28.40342731
-2.08E-05,28.60816054
-2.60E-05,28.52144501
-2.37E-05,28.50938484
-2.37E-05,28.50221115
-2.60E-05,28.53351535
-2.23E-05,28.39136613
-2.78E-05,28.45396131
-2.12E-05,28.5527421
-3.00E-05,28.3046506
-1.93E-05,28.46602046
-2.96E-05,28.50937874
-1.93E-05,28.49731653
-2.93E-05,28.42265508
-2.01E-05,28.46601843
-2.85E-05,28.50938077
-2.15E-05,28.36006802
-2.67E-05,28.43472643
-2.41E-05,28.52143586
-2.52E-05,28.41059795
-2.56E-05,28.38647049
-2.26E-05,28.42266016
-2.71E-05,28.34800988
-2.04E-05,28.37930087
-2.89E-05,28.21792083
-2.01E-05,28.45395318
-2.93E-05,28.3672346
-1.93E-05,28.5286126
-2.93E-05,28.48525433
-2.04E-05,28.3238753
-2.82E-05,28.41059897
-2.04E-05,28.45395318
-2.63E-05,28.36723968
-2.30E-05,28.27334233
-2.52E-05,28.20585863
-2.60E-05,28.36723765
-2.26E-05,28.38646846
-2.67E-05,28.39853473
-2.23E-05,28.41059694
-2.89E-05,28.23714961
-2.01E-05,28.26845178
-2.96E-05,28.32387531
-1.86E-05,28.32387734
-2.96E-05,28.36723765
-2.04E-05,28.29974683
-2.96E-05,28.26845279
-2.04E-05,28.35517036
-2.74E-05,28.31180904
-2.19E-05,28.52861057
-2.52E-05,28.2492169
-2.49E-05,28.18173727
-2.34E-05,28.29257518
-2.60E-05,28.36724273
-2.15E-05,28.24921995
-2.82E-05,28.44188996
-2.08E-05,28.36723764
-2.89E-05,28.15043713
-1.90E-05,28.28051602
-2.96E-05,28.07578686
-2.01E-05,28.3118131
-3.04E-05,28.33593853
-2.08E-05,28.1504351
-2.78E-05,28.32386921
-2.12E-05,28.16249832
-2.60E-05,28.29257822
-2.30E-05,28.311807
-2.45E-05,28.1817332
-2.56E-05,28.03242147
-2.26E-05,28.18172913
-2.74E-05,28.31181107
-2.12E-05,28.22508944
-2.93E-05,28.29974886
-1.93E-05,28.19379337
-2.96E-05,28.31180497
-1.93E-05,28.13837188
-3.00E-05,28.2130313
-2.12E-05,28.11913801
-2.82E-05,28.22508639
-2.12E-05,28.16967201
-2.71E-05,28.09500954
-2.26E-05,28.4105888
-2.60E-05,28.15043001
-2.52E-05,28.15043103
-2.30E-05,28.05165025
-2.67E-05,28.25637636
-2.15E-05,28.20096198
-2.85E-05,28.25637839
-2.01E-05,27.92156933
-2.89E-05,28.21302317
-1.90E-05,28.12630459
-2.96E-05,28.05165329
-1.93E-05,27.97698879
-2.89E-05,28.0950075
-1.93E-05,28.02035011
-2.85E-05,28.13836984
-2.19E-05,28.07577669
-2.63E-05,28.18172507
-2.34E-05,28.13836883
-2.45E-05,28.12631068
-2.63E-05,28.24432533
-2.23E-05,28.16966896
