panel zone shear distortion (rad),panel zone shear force (kN)
0.01459639,1059.653747
0.01447509,957.3195849
0.014070758,785.66228
0.012776895,472.0575884
0.012008664,247.5826513
0.01018917,-227.0053107
0.008733574,-437.7959564
0.007399278,-590.2138079
0.005579783,-713.4452623
0.003679422,-836.6767167
0.000646931,-956.6652381
-0.004285921,-1099.354291
-0.008127076,-1180.427616
-0.009784838,-1193.399348
-0.010876534,-1199.885214
-0.010431769,-1034.49563
-0.009501805,-732.9028604
-0.008410108,-460.4964875
-0.007358845,-165.3895835
-0.006105415,115.5385706
-0.005094585,280.5936714
-0.003841155,455.5520783
-0.002668592,571.0906489
-0.000283032,696.5325256
0.001617329,795.5655861
0.004568953,878.0931365
0.008207942,967.2228909
0.011119134,1020.040523
0.013262094,1056.352645
0.01447509,1076.159257
0.015485921,1086.062564
0.015768953,1082.761462
0.015647653,1010.137217
0.015162455,841.7810143
0.014232491,547.9829348
0.013019495,135.3451827
0.011927798,-103.7738563
0.0110787,-291.863971
0.009380505,-525.3551477
0.007844043,-671.2871332
0.005822383,-788.0327216
0.004002888,-865.8631138
0.001779061,-950.1793721
-0.00101083,-1002.0663
-0.003800722,-1083.139626
-0.009137906,-1190.156415
-0.010714801,-1212.856946
-0.011361733,-1222.585745
-0.010391336,-914.507109
-0.009178339,-567.5132768
-0.008127076,-210.7906457
-0.006752347,66.02204034
-0.00553935,267.3892634
-0.004568953,409.3366501
-0.00327509,554.5851388
-0.001455596,656.9193014
0.001091697,775.758974
0.003598556,871.4909325
0.007561011,954.0184829
0.011604332,1033.244931
0.013949458,1066.255951
0.015324188,1086.062564
0.015890253,1086.062564
0.016577617,1102.568074
0.016537184,983.728401
0.016051986,808.7699941
0.015324188,580.993955
0.014030325,283.8947735
0.013181227,23.10771412
0.01233213,-201.0618467
0.010755235,-389.1519613
0.009703971,-528.5980807
0.007965343,-677.7729992
0.005943682,-778.3039225
0.003800722,-891.8065779
0.000849097,-985.8516352
-0.001415162,-1037.738563
-0.005215884,-1125.297755
-0.008733574,-1196.642281
-0.010350903,-1222.585745
-0.011361733,-1242.043343
-0.012291697,-1245.286276
-0.01233213,-1186.913482
-0.012049097,-1089.625492
-0.011806498,-1050.710295
-0.011604332,-940.4505731
-0.011159567,-765.3321905
-0.010431769,-538.3268798
-0.009784838,-353.4796982
-0.009340072,-259.4346408
-0.008895307,-136.2031864
-0.008410108,-16.21466505
-0.00792491,82.52755042
-0.007641877,168.3562029
-0.006711913,290.4969775
-0.005741516,406.0355481
-0.004690253,514.9719146
-0.003477256,594.198363
-0.000646931,742.7479538
0.001940794,828.5766062
0.003558123,845.0821163
0.006348014,874.7920345
0.007520578,874.7920345
0.007844043,858.2865244
0.007439711,610.7038731
0.006590614,313.6046916
0.005984116,75.92534639
0.005741516,-29.1863971
