Elongation [mm],Triaxiality
0.282,1.18618
0.288,1.1906
0.294,1.19511
0.3,1.19969
0.306,1.20433
0.312,1.20902
0.318,1.21373
0.324,1.21845
0.33,1.22316
0.336,1.22786
0.342,1.23253
0.348,1.23716
0.354,1.24173
0.36,1.24624
0.366,1.25069
0.372,1.25505
0.378,1.25933
0.384,1.26352
0.39,1.26762
0.396,1.27162
0.402,1.27553
0.408,1.27933
0.414,1.28304
0.42,1.28665
0.426,1.29016
0.432,1.29358
0.438,1.2969
0.444,1.30014
0.45,1.30329
0.456,1.30635
0.462,1.30934
0.468,1.31225
0.474,1.31509
0.48,1.31787
0.486,1.32058
0.492,1.32323
0.498,1.32583
0.504,1.32837
0.51,1.33087
0.516,1.33333
0.522,1.33575
0.528,1.33813
0.534,1.34048
0.54,1.3428
0.546,1.34509
0.552,1.34736
0.558,1.34961
0.564,1.35185
0.57,1.35406
0.576,1.35626
0.582,1.35845
0.588,1.36063
0.594,1.36279
0.6,1.36495
0.594,1.39471
0.588,1.4308
0.582,1.4754
0.576,1.52077
0.57,1.56291
0.564,1.6123
0.558,1.85287
0.552,1.85287
0.546,1.85287
0.54,1.15966
0.534,0.29142
0.528,-0.15043
0.522,-0.43681
0.516,-0.62754
0.51,-0.7585
0.504,-0.85138
0.498,-0.9195
0.492,-0.97117
0.486,-1.01173
0.48,-1.04463
0.474,-1.07213
0.468,-1.09563
0.462,-1.11621
0.456,-1.13455
0.45,-1.15098
0.444,-1.16591
0.438,-1.1794
0.432,-1.19166
0.426,-1.20268
0.42,-1.21239
0.414,-1.2208
0.408,-1.22758
0.402,-1.23252
0.396,-1.23523
0.39,-1.23633
0.384,-1.23667
0.378,-1.23676
0.372,-1.23663
0.366,-1.23631
0.36,-1.23577
0.354,-1.23504
0.348,-1.23412
0.342,-1.23297
0.336,-1.23166
0.33,-1.23018
0.324,-1.22853
0.318,-1.22673
0.312,-1.22479
0.306,-1.22273
0.3,-1.22054
0.294,-1.21825
0.288,-1.21587
0.282,-1.2134
0.276,-1.21086
0.27,-1.20826
0.264,-1.20559
0.258,-1.20287
0.252,-1.20012
0.246,-1.19732
0.24,-1.19449
0.234,-1.19164
0.228,-1.18877
0.222,-1.18588
0.216,-1.18297
0.21,-1.18007
0.204,-1.17715
0.198,-1.17423
0.192,-1.17131
0.186,-1.1684
0.18,-1.16549
0.174,-1.16258
0.168,-1.1597
0.162,-1.1568
0.156,-1.15393
0.15,-1.15106
0.144,-1.14821
0.138,-1.14537
0.132,-1.14255
0.126,-1.13976
0.12,-1.13698
0.114,-1.13421
0.108,-1.13148
0.102,-1.12876
0.096,-1.12606
0.09,-1.12338
0.084,-1.12073
0.078,-1.1181
0.072,-1.1155
0.066,-1.11292
0.06,-1.11034
0.054,-1.10781
0.048,-1.10529
0.042,-1.1028
0.036,-1.10034
0.03,-1.09789
0.024,-1.09548
0.018,-1.09309
0.012,-1.09073
0.006,-1.0884
0,-1.08607
0.006,-1.08335
0.012,-1.08033
0.018,-1.07646
0.024,-1.06521
0.03,-1.04088
0.036,-0.99857
0.042,-0.92774
0.048,-0.85038
0.054,-0.83792
0.06,-0.84868
0.066,0.72265
0.072,0.69644
0.078,0.65576
0.084,0.72794
0.09,0.86432
0.096,0.96414
0.102,1.03725
0.108,1.09087
0.114,1.13024
0.12,1.15914
0.126,1.18027
0.132,1.1956
0.138,1.20648
0.144,1.2139
0.15,1.21792
0.156,1.21861
0.162,1.21561
0.168,1.21061
0.174,1.2051
0.18,1.20061
0.186,1.1973
0.192,1.19503
0.198,1.19369
0.204,1.19317
0.21,1.19337
0.216,1.19422
0.222,1.1956
0.228,1.19749
0.234,1.19978
0.24,1.20247
0.246,1.20549
0.252,1.20881
0.258,1.21238
0.264,1.21614
0.27,1.22011
0.276,1.22422
0.282,1.22848
0.288,1.23282
0.294,1.23723
0.3,1.24169
0.306,1.24619
0.312,1.25069
0.318,1.25518
0.324,1.25965
0.33,1.26408
0.336,1.26846
0.342,1.27277
0.348,1.27701
0.354,1.28116
0.36,1.28522
0.366,1.28918
0.372,1.29304
0.378,1.2968
0.384,1.30045
0.39,1.30399
0.396,1.30742
0.402,1.31075
0.408,1.31397
0.414,1.31708
0.42,1.3201
0.426,1.32302
0.432,1.32585
0.438,1.32859
0.444,1.33125
0.45,1.33383
0.456,1.33634
0.462,1.33878
0.468,1.34116
0.474,1.34347
0.48,1.34574
0.486,1.34796
0.492,1.35013
0.498,1.35226
0.504,1.35436
0.51,1.35643
0.516,1.35847
0.522,1.36048
0.528,1.36248
0.534,1.36446
0.54,1.36642
0.546,1.36837
0.552,1.37032
0.558,1.37226
0.564,1.37419
0.57,1.37612
0.576,1.37805
0.582,1.37998
0.588,1.38192
0.594,1.38386
0.6,1.3858
0.594,1.41315
0.588,1.44619
0.582,1.48632
0.576,1.5235
0.57,1.55585
0.564,1.59788
0.558,1.91126
0.552,1.91126
0.546,1.91126
0.54,0.96371
0.534,0.22007
0.528,-0.21063
0.522,-0.48693
0.516,-0.66963
0.51,-0.79458
0.504,-0.88306
0.498,-0.94803
0.492,-0.9975
0.486,-1.03653
0.48,-1.06843
0.474,-1.09523
0.468,-1.11837
0.462,-1.13876
0.456,-1.15706
