Total plastic story drift angle *(rad),Force in the actuator (kN)
0.024781981,292.3175832
0.026915114,298.327049
0.028671811,300.0440392
0.029675638,300.0440392
0.030177552,296.6100587
0.030428509,283.7326322
0.030428509,266.5627301
0.030553987,241.666372
0.027793463,72.54283636
0.027542506,63.95788531
0.027166071,51.08045874
0.027166071,38.20303217
0.026789635,14.16516923
0.026036765,-3.004732867
0.025785808,-15.88215944
0.024781981,-34.76905175
0.023150762,-64.81638042
0.022397892,-79.4107972
0.021268586,-92.28822378
0.020013803,-106.8826406
0.018382584,-118.0430769
0.016876843,-128.3450182
0.014994667,-139.5054545
0.013112491,-148.0904056
0.010226488,-159.250842
0.007089529,-169.5527832
0.004329004,-177.2792392
-0.000564653,-188.4396755
-0.003827091,-194.4491413
-0.007842399,-197.0246266
-0.011983186,-203.8925874
-0.015747537,-209.043558
-0.019386411,-209.9020531
-0.024405546,-210.7605483
-0.029424682,-213.3360336
-0.033063555,-209.9020531
-0.033941904,-205.6095776
-0.034443817,-203.8925874
-0.034569295,-199.6001119
-0.03419286,-185.0056951
-0.033941904,-171.2697734
-0.033816425,-154.9583664
-0.033314512,-132.6374937
-0.028671811,-7.297208392
-0.028295376,-2.146237762
-0.027793463,8.155703497
-0.027291549,22.75012028
-0.026538679,39.92002238
-0.025785808,55.37293427
-0.024781981,68.25036084
-0.023903633,80.26929231
-0.023025284,94.86370909
-0.022272414,103.4486601
-0.020515716,119.7600671
-0.019511889,131.7789986
-0.017755192,143.7979301
-0.015622059,155.8168615
-0.01323797,167.835793
-0.01010101,176.4207441
-0.008720748,180.7132196
-0.006462137,186.7226853
-0.004329004,191.8736559
-0.00081561,201.3171021
0.003325177,215.0530238
0.006838572,227.0719552
0.010226488,240.8078769
0.013363448,251.1098182
0.018508062,262.2702545
0.021268586,270.8552056
0.023150762,276.0061762
0.025534852,284.5911273
0.029048246,294.0345734
0.032059728,299.1855441
0.033941904,300.9025343
0.035824079,302.6195245
0.037455298,302.6195245
0.038835561,299.1855441
0.039462953,294.8930685
0.039462953,288.8836028
0.039964866,277.7231664
0.040090344,266.5627301
0.039964866,260.5532643
0.039964866,250.2513231
0.038835561,133.4959888
0.038333647,99.15618462
0.037580777,56.23142937
0.036827906,27.0425958
0.035824079,0.429247552
0.034569295,-29.61808112
0.032561641,-63.95788531
0.03030303,-94.00521399
0.026287722,-124.9110378
0.0217705,-147.2319105
0.017504235,-163.5433175
0.010602924,-178.1377343
-0.004454483,-201.3171021
-0.017002321,-205.6095776
-0.019135454,-213.3360336
-0.030177552,-215.0530238
-0.034569295,-210.7605483
-0.036702428,-209.9020531
-0.039713909,-204.7510825
-0.041721563,-202.1755972
