Total plastic story drift angle (rad),Force in the actuator (kN)
0.038116472,318.4433763
0.038116472,293.7259086
0.038489554,269.0084408
0.037245949,162.7233294
0.036748508,135.5341149
0.035877985,88.57092614
0.035131822,52.31864009
0.034385659,21.83376319
0.033763857,-3.707620164
0.033017695,-25.95334115
0.03164973,-66.32520516
0.030406126,-86.09917937
0.02866508,-109.9927315
0.027297115,-123.9992966
0.025556069,-138.0058617
0.023566302,-151.1885111
0.022198337,-156.9559203
0.02008421,-168.4907386
0.017970082,-177.5538101
0.01448799,-181.673388
0.0116277,-185.792966
0.007772527,-186.6168816
0.002549389,-186.6168816
-0.017472641,-181.673388
-0.031898451,-174.2581477
-0.043961413,-166.0189918
-0.045826819,-156.9559203
-0.045826819,-144.5971864
-0.044956296,-114.1123095
-0.040852402,-33.36858148
-0.038613914,6.17936694
-0.037121589,30.8968347
-0.035007462,53.96647128
-0.033142055,72.0926143
-0.03177409,84.45134818
-0.029286882,101.7535756
-0.025680429,119.8797186
-0.023939383,131.4145369
-0.021203454,143.7732708
-0.018094443,152.0124267
-0.015607234,159.4276671
-0.011254619,170.9624853
-0.005285318,184.9690504
-0.000932703,194.0321219
0.003295551,206.3908558
0.010135375,222.0452521
0.019213687,247.5866354
0.020581652,252.530129
0.023317581,260.7692849
0.028416359,279.7193435
0.037245949,325.0347011
0.038489554,331.6260258
0.04035496,338.2173505
0.042344727,344.8086753
0.043961413,346.4565064
0.045205017,346.4565064
0.046199901,346.4565064
0.047443505,342.3369285
0.047940947,334.9216882
0.048065307,321.7390387
0.048189667,307.7324736
0.048314028,287.9584994
0.048438388,208.038687
0.048189667,173.4342321
0.047692226,135.5341149
0.047319144,101.7535756
0.047070424,77.03610785
0.046572982,54.79038687
0.04595118,31.72075029
0.045453738,7.827198124
0.044458854,-25.12942556
0.04321525,-62.2056272
0.041225483,-91.04267292
0.039111356,-117.4079719
0.036872868,-135.5341149
0.03463438,-151.1885111
0.032022811,-161.0754982
0.0289138,-174.2581477
0.024809906,-180.0255569
0.020954733,-183.3212192
0.016353397,-184.1451348
0.006031481,-182.4973036
-0.007026364,-177.5538101
-0.036002345,-158.6037515
-0.057267979,-139.6536928
-0.0575167,-136.3580305
-0.05764106,-133.0623681
-0.0575167,-126.4710434
-0.057267979,-112.4644783
-0.056397456,-92.6905041
-0.055526933,-76.21219226
-0.05478077,-61.38171161
-0.053537166,-43.25556858
-0.052417922,-25.95334115
-0.051049957,-2.883704572
-0.04893583,21.83376319
-0.047692226,35.84032825
-0.045702459,54.79038687
-0.043339611,67.14912075
-0.040479321,86.92309496
-0.037619031,99.28182884
-0.03463438,109.9927315
-0.032022811,119.8797186
-0.029286882,128.1188746
-0.024685546,139.6536928
-0.021203454,145.421102
-0.016602118,155.3080891
-0.008145608,174.2581477
-0.00292247,183.3212192
0.001927587,194.0321219
0.006280202,199.7995311
0.010632817,206.3908558
0.016229036,217.9256741
0.020581652,228.6365768
0.024809906,238.5235639
0.027670196,243.4670574
0.030530486,254.1779601
0.033390776,263.2410317
0.036375426,273.9519343
0.038862635,286.3106682
0.046448621,317.6194607
0.047692226,317.6194607
0.048438388,315.147714
0.048562749,305.2607268
0.048687109,292.0780774
0.04893583,279.7193435
0.04881147,268.1845252
0.047194784,140.4776084
0.046324261,98.45791325
0.045329377,56.43821805
0.044334494,15.24243845
0.043837052,-6.17936694
0.042842169,-35.84032825
0.041101123,-66.32520516
0.0402306,-81.97960141
0.038738275,-97.63399766
0.037121589,-113.2883939
0.035380543,-127.294959
0.033763857,-136.3580305
0.030779207,-148.7167644
0.027172754,-155.3080891
0.023690662,-161.0754982
0.020830372,-165.1950762
0.014985432,-166.8429074
-0.0056584,-162.7233294
-0.035380543,-142.9493552
-0.056024375,-127.294959
-0.056024375,-126.4710434
-0.056521816,-125.6471278
-0.056646177,-123.9992966
-0.056894898,-120.7036342
-0.057143619,-117.4079719
-0.057143619,-114.1123095
-0.057143619,-109.9927315
-0.057267979,-106.6970692
-0.057143619,-104.2253224
-0.057143619,-100.92966
-0.057143619,-98.45791325
-0.057143619,-95.16225088
-0.054158968,-56.43821805
-0.052542283,-37.48815944
-0.051049957,-20.185932
