Chord Rotation [rads],Axial Shortening [mm]
-1.070000e-02,-1.570000e+00
-1.080000e-02,-1.560000e+00
-1.090000e-02,-1.580000e+00
-1.090000e-02,-1.580000e+00
-1.090000e-02,-1.590000e+00
-1.100000e-02,-1.590000e+00
-1.110000e-02,-1.570000e+00
-1.110000e-02,-1.620000e+00
-1.120000e-02,-1.610000e+00
-1.120000e-02,-1.600000e+00
-1.130000e-02,-1.610000e+00
-1.130000e-02,-1.630000e+00
-1.140000e-02,-1.600000e+00
-1.140000e-02,-1.610000e+00
-1.150000e-02,-1.610000e+00
-1.150000e-02,-1.620000e+00
-1.160000e-02,-1.630000e+00
-1.170000e-02,-1.620000e+00
-1.170000e-02,-1.630000e+00
-1.180000e-02,-1.650000e+00
-1.180000e-02,-1.640000e+00
-1.190000e-02,-1.630000e+00
-1.190000e-02,-1.630000e+00
-1.200000e-02,-1.650000e+00
-1.200000e-02,-1.650000e+00
-1.210000e-02,-1.640000e+00
-1.210000e-02,-1.670000e+00
-1.220000e-02,-1.660000e+00
-1.220000e-02,-1.660000e+00
-1.230000e-02,-1.670000e+00
-1.240000e-02,-1.670000e+00
-1.240000e-02,-1.670000e+00
-1.240000e-02,-1.660000e+00
-1.250000e-02,-1.680000e+00
-1.260000e-02,-1.690000e+00
-1.260000e-02,-1.720000e+00
-1.270000e-02,-1.730000e+00
-1.270000e-02,-1.730000e+00
-1.280000e-02,-1.730000e+00
-1.280000e-02,-1.770000e+00
-1.290000e-02,-1.760000e+00
-1.290000e-02,-1.770000e+00
-1.300000e-02,-1.800000e+00
-1.300000e-02,-1.800000e+00
-1.310000e-02,-1.820000e+00
-1.320000e-02,-1.810000e+00
-1.320000e-02,-1.830000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.840000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.840000e+00
-1.320000e-02,-1.890000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.840000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.850000e+00
-1.320000e-02,-1.870000e+00
-1.320000e-02,-1.860000e+00
-1.320000e-02,-1.880000e+00
-1.320000e-02,-1.880000e+00
-1.310000e-02,-1.880000e+00
-1.310000e-02,-1.870000e+00
-1.310000e-02,-1.870000e+00
-1.300000e-02,-1.880000e+00
-1.300000e-02,-1.880000e+00
-1.300000e-02,-1.900000e+00
-1.290000e-02,-1.890000e+00
-1.290000e-02,-1.890000e+00
-1.280000e-02,-1.880000e+00
-1.280000e-02,-1.900000e+00
-1.280000e-02,-1.890000e+00
-1.270000e-02,-1.890000e+00
-1.270000e-02,-1.870000e+00
-1.260000e-02,-1.880000e+00
-1.260000e-02,-1.890000e+00
-1.260000e-02,-1.880000e+00
-1.250000e-02,-1.890000e+00
-1.250000e-02,-1.890000e+00
-1.240000e-02,-1.900000e+00
-1.240000e-02,-1.900000e+00
-1.230000e-02,-1.900000e+00
-1.230000e-02,-1.900000e+00
-1.220000e-02,-1.900000e+00
-1.220000e-02,-1.890000e+00
-1.210000e-02,-1.900000e+00
-1.210000e-02,-1.900000e+00
-1.210000e-02,-1.880000e+00
-1.200000e-02,-1.880000e+00
-1.200000e-02,-1.900000e+00
-1.190000e-02,-1.890000e+00
-1.190000e-02,-1.910000e+00
-1.180000e-02,-1.900000e+00
-1.180000e-02,-1.890000e+00
-1.170000e-02,-1.900000e+00
-1.160000e-02,-1.900000e+00
