type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,z_z,j,c_w,,,,,,,,,,,,
SHS,HSS 6 x 6 x 5/8,152.4,152.4,15.875,7.3,7.3,47.6,31.8,0.6,609.6,7561.3,3326.6,3326.6,22975974.7,55.1,301522.0,380179.9,22975974.7,55.1,301522.0,380179.9,39500362.3,547327.9,,,,,,,,,,,,
SHS,HSS 6 x 6 x 1/2,152.4,152.4,12.7,9.9,9.9,38.1,25.4,0.5,609.6,6283.9,2903.2,2903.2,20103977.9,56.6,263831.7,324463.9,20103977.9,56.6,263831.7,324463.9,33756368.6,460476.5,,,,,,,,,,,,
SHS,HSS 6 x 6 x 3/8,152.4,152.4,9.525,14.2,14.2,28.6,19.1,0.4,609.6,4890.3,2358.9,2358.9,16441141.3,57.9,216309.2,258915.6,16441141.3,57.9,216309.2,258915.6,26888550.1,362154.1,,,,,,,,,,,,
SHS,HSS 6 x 6 x 5/16,152.4,152.4,7.9502,17.6,17.6,23.9,15.9,0.3,609.6,4148.4,2044.0,2044.0,14276737.9,58.7,186812.5,222864.1,14276737.9,58.7,186812.5,222864.1,23059221.0,309715.5,,,,,,,,,,,,
SHS,HSS 6 x 6 x 1/4,152.4,152.4,6.35,22.8,22.8,19.1,12.7,0.3,609.6,3380.6,1693.5,1693.5,11904218.8,59.4,156168.7,183535.1,11904218.8,59.4,156168.7,183535.1,18980153.0,252360.8,,,,,,,,,,,,
SHS,HSS 6 x 6 x 3/16,152.4,152.4,4.7752,31.5,31.5,14.3,9.6,0.2,609.6,2567.7,1318.7,1318.7,9281960.8,60.2,121755.9,141420.4,9281960.8,60.2,121755.9,141420.4,14568099.9,193367.4,,,,,,,,,,,,
SHS,HSS 6 x 6 x 1/8,152.4,152.4,3.175,48.7,48.7,9.5,6.4,0.1,609.6,1741.9,907.3,907.3,6451587.1,61.0,84721.1,97011.4,6451587.1,61.0,84721.1,97011.4,9947931.1,131096.5,,,,,,,,,,,,
SHS,HSS 5 x 5 x 1/2,127,127,12.7,7.8,7.8,38.1,25.4,0.4,508.0,5083.9,2258.1,2258.1,10822017.1,46.2,170425.5,214670.5,10822017.1,46.2,170425.5,214670.5,18563921.6,306438.1,,,,,,,,,,,,
SHS,HSS 5 x 5 x 3/8,127,127,9.525,11.3,11.3,28.6,19.1,0.3,508.0,3987.1,1875.0,1875.0,9032221.9,47.5,142239.7,173702.9,9032221.9,47.5,142239.7,173702.9,15025954.5,244167.3,,,,,,,,,,,,
SHS,HSS 5 x 5 x 5/16,127,127,7.9502,14.2,14.2,23.9,15.9,0.3,508.0,3393.5,1640.1,1640.1,7908397.1,48.3,124541.7,150105.5,7908397.1,48.3,124541.7,150105.5,12986420.5,209754.4,,,,,,,,,,,,
SHS,HSS 5 x 5 x 1/4,127,127,6.35,18.5,18.5,19.1,12.7,0.2,508.0,2774.2,1371.0,1371.0,6659702.8,49.0,104877.2,124705.6,6659702.8,49.0,104877.2,124705.6,10738770.8,172064.2,,,,,,,,,,,,
SHS,HSS 5 x 5 x 3/16,127,127,4.7752,25.7,25.7,14.3,9.6,0.2,508.0,2116.1,1076.1,1076.1,5244516.0,49.8,82590.8,96519.8,5244516.0,49.8,82590.8,96519.8,8283005.4,132407.5,,,,,,,,,,,,
SHS,HSS 5 x 5 x 0.134,127,127,3.4036,37,37,10.2,6.8,0.1,508.0,1548.4,795.0,795.0,3916737.7,50.3,61615.4,71447.6,3916737.7,50.3,61615.4,71447.6,6118602.0,97175.3,,,,,,,,,,,,
SHS,HSS 5 x 5 x 1/8,127,127,3.175,40.1,40.1,9.5,6.4,0.1,508.0,1438.7,746.0,746.0,3662836.5,50.5,57682.5,66695.4,3662836.5,50.5,57682.5,66695.4,5702370.5,90620.5,,,,,,,,,,,,
