type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
SHS,SHS 140x8,140,140,8,17.5,17.5,12,8,32.6,0.539,4155,2078,2078,11950000,53.6,170700,204300,11950000,53.6,170700,204300,18920000,249300,,,,,,,,,,,,
SHS,SHS 140x10,140,140,10,14.0,14.0,15,10,40,0.534,5093,2546,2546,14160000,52.7,202300,246100,14160000,52.7,202300,246100,22720000,294100,,,,,,,,,,,,
SHS,SHS 140x12.5,140,140,12.5,11.2,11.2,18.8,12.5,48.7,0.528,6207,3104,3104,16530000,51.6,236100,293300,16530000,51.6,236100,293300,26960000,341600,,,,,,,,,,,,
SHS,SHS 150x5,150,150,5,30.0,30.0,7.5,5,22.6,0.587,2873,1437,1437,10020000,59,133600,155700,10020000,59,133600,155700,15500000,196900,,,,,,,,,,,,
SHS,SHS 150x6.3,150,150,6.3,23.8,23.8,9.4,6.3,28.1,0.584,3579,1789,1789,12230000,58.5,163100,192000,12230000,58.5,163100,192000,19090000,239600,,,,,,,,,,,,
SHS,SHS 150x8,150,150,8,18.8,18.8,12,8,35.1,0.579,4475,2238,2238,14910000,57.7,198700,236900,14910000,57.7,198700,236900,23510000,290600,,,,,,,,,,,,
SHS,SHS 150x10,150,150,10,15.0,15.0,15,10,43.1,0.574,5493,2746,2746,17730000,56.8,236400,286000,17730000,56.8,236400,286000,28320000,344200,,,,,,,,,,,,
SHS,SHS 150x12.5,150,150,12.5,12.0,12.0,18.8,12.5,52.7,0.568,6707,3354,3354,20800000,55.7,277400,342100,20800000,55.7,277400,342100,33750000,401900,,,,,,,,,,,,
SHS,SHS 150x14.2,150,150,14.2,10.6,10.6,21.3,14.2,58.9,0.563,7497,3749,3749,22620000,54.9,301500,376900,22620000,54.9,301500,376900,37070000,435700,,,,,,,,,,,,
SHS,SHS 150x16,150,150,16,9.4,9.4,24,16,65.2,0.559,8301,4151,4151,24300000,54.1,324000,410700,24300000,54.1,324000,410700,40260000,467000,,,,,,,,,,,,
SHS,SHS 160x5,160,160,5,32.0,32.0,7.5,5,24.1,0.627,3073,1537,1537,12250000,63.1,153100,178100,12250000,63.1,153100,178100,18920000,225900,,,,,,,,,,,,
SHS,SHS 160x6.3,160,160,6.3,25.4,25.4,9.4,6.3,30.1,0.624,3831,1915,1915,14990000,62.6,187400,219900,14990000,62.6,187400,219900,23330000,275500,,,,,,,,,,,,
SHS,SHS 160x8,160,160,8,20.0,20.0,12,8,37.6,0.619,4795,2398,2398,18310000,61.8,228900,271800,18310000,61.8,228900,271800,28800000,335200,,,,,,,,,,,,
