type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X194,F,194,57.0,36.5,36  1/2 ,12.1,12  1/8 ,0.765,  3/4 ,1.26,1  1/4 ,2.01,2  1/2 ,1  9/16,4.81,42.4,12100,767,664,14.6,375,97.7,61.9,2.56,22.2,116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X182,F,182,53.6,36.3,36  3/8 ,12.1,12  1/8 ,0.725,  3/4 ,1.18,1  3/16,1.93,2  3/8 ,1  9/16,5.12,44.8,11300,718,623,14.5,347,90.7,57.6,2.55,18.5,107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X170,F,170,50.0,36.2,36  1/8 ,12.0,12      ,0.680, 11/16,1.10,1  1/8 ,1.85,2  3/8 ,1  9/16,5.47,47.7,10500,668,581,14.5,320,83.8,53.2,2.53,15.1,98500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X160,F,160,47.0,36.0,36      ,12.0,12      ,0.650,  5/8 ,1.02,1      ,1.77,2  1/4 ,1  9/16,5.88,49.9,9760,624,542,14.4,295,77.3,49.1,2.50,12.4,90200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X150,F,150,44.3,35.9,35  7/8 ,12.0,12      ,0.625,  5/8 ,0.940, 15/16,1.69,2  3/16,1  1/2 ,6.37,51.9,9040,581,504,14.3,270,70.9,45.1,2.47,10.1,82200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X135,F,135,39.9,35.6,35  1/2 ,12.0,12      ,0.600,  5/8 ,0.790, 13/16,1.54,2  1/16,1  1/2 ,7.56,54.1,7800,509,439,14.0,225,59.7,37.7,2.38,7.00,68100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X387,T,387,114,36.0,36      ,16.2,16  1/4 ,1.26,1  1/4 ,2.28,2  1/4 ,3.07,3  9/16,1 13/16,3.55,23.7,24300,1560,1350,14.6,1620,312,200,3.77,148,459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X354,T,354,104,35.6,35  1/2 ,16.1,16  1/8 ,1.16,1  3/16,2.09,2  1/16,2.88,3  3/8 ,1 13/16,3.85,25.7,22000,1420,1240,14.5,1460,282,181,3.74,115,408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X318,F,318,93.7,35.2,35  1/8 ,16.0,16      ,1.04,1  1/16,1.89,1  7/8 ,2.68,3  3/16,1  3/4 ,4.23,28.7,19500,1270,1110,14.5,1290,250,161,3.71,84.4,357000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W33X291,F,291,85.6,34.8,34  7/8 ,15.9,15  7/8 ,0.960, 15/16,1.73,1  3/4 ,2.52,2 15/16,1 11/16,4.60,31.0,17700,1160,1020,14.4,1160,226,146,3.68,65.1,319000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
