cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
HD 320 x 245,245.0,359.0,309.0,21.0,40.0,27,279.0,225.0,312.0,1.866,7.618,68130,3795,4435,14.7,94.84,19700,1275,1950,7.9,13.2,1506,5003000
HD 320 x 198,198.0,343.0,306.0,18.0,32.0,27,279.0,225.0,252.3,1.828,9.229,51890,3025,3479,14.3,79.51,15310,1000,1530,7.7,11.3,808.5,3695000
HD 320 x 158,158.0,330.0,303.0,14.5,25.5,27,279.0,225.0,201.2,1.797,11.38,39640,2402,2718,14,64.18,11840,781.6,1193,7.6,9.7,424.9,2740000
HD 320 x 127,127.0,320.0,300.0,11.5,20.5,27,279.0,225.0,161.3,1.771,13.98,30820,1926,2149,13.8,51.77,9238,615.9,939,7.5,8.4,230.4,2068000
"HD 320 x 97,6",97.6,310.0,300.0,9.0,15.5,27,279.0,225.0,124.4,1.756,17.99,22920,1479,1628,13.5,41.13,6985,465.6,709.7,7.4,7.1,111.8,1512000
"HD 320 x 74,2",74.2,301.0,300.0,8.0,11.0,27,279.0,225.0,94.6,1.740,23.44,16440,1092,1196,13.1,35.39,4959,330.6,505.7,7.2,6.1,53.58,1040000
HD 260 x 299,299.0,335.0,278.0,31.0,55.0,24,225.0,177.0,380.5,1.679,5.621,64210,3833,4726,12.9,118.1,19770,1422,2189,7.2,16.9,3392,3860000
HD 260 x 225,225.0,309.0,271.0,24.0,42.0,24,225.0,177.0,286.6,1.613,7.17,43750,2831,3395,12.3,89.18,13970,1031,1583,6.9,13.6,1533,2482000
HD 260 x 172,172.0,290.0,268.0,18.0,32.5,24,225.0,177.0,219.6,1.575,9.135,31300,2159,2523,11.9,66.89,10440,779.7,1192,6.8,11.1,720.1,1728000
HD 260 x 142,142.0,278.0,265.0,15.5,26.5,24,225.0,177.0,180.3,1.544,10.91,24330,1750,2015,11.6,56.64,8235,621.5,950.4,6.7,9.6,407.3,1299000
HD 260 x 114,114.0,268.0,262.0,12.5,21.5,24,225.0,177.0,145.7,1.518,13.27,18910,1411,1599,11.3,46.07,6455,492.8,752.4,6.6,8.3,224.5,978900
"HD 260 x 93,0",93.0,260.0,260.0,10.0,17.5,24,225.0,177.0,118.4,1.499,16.12,14910,1147,1282,11.2,37.59,5134,394.9,602.2,6.5,7.3,126.6,753600
"HD 260 x 68,2",68.2,250.0,260.0,7.5,12.5,24,225.0,177.0,86.8,1.484,21.77,10450,836.3,919.7,10.9,28.75,3667,282.1,430.1,6.4,6,54.19,516300
"HD 260 x 54,1",54.1,244.0,260.0,6.5,9.5,24,225.0,177.0,69.0,1.474,27.23,7980,654.1,714.4,10.7,24.74,2788,214.4,327.7,6.3,5.3,30.09,382500
HP 400 x 231,231.0,372.0,402.0,26.0,26.0,20,320.0,280.0,294.2,2.266,9.763,70610,3796,4335,15.4,103.7,28200,1403,2160,9.7,10.1,733,8425000
HP 400 x 213,213.0,368.0,400.0,24.0,24.0,20,320.0,280.0,270.7,2.254,10.55,64270,3493,3970,15.3,95.59,25640,1282,1971,9.7,9.5,577.2,7573000
HP 400 x 194,194.0,364.0,398.0,22.0,22.0,20,320.0,280.0,247.5,2.242,11.47,58110,3193,3611,15.2,87.47,23150,1163,1786,9.6,8.9,445.7,6759000
HP 400 x 176,176.0,360.0,396.0,20.0,20.0,20,320.0,280.0,224.3,2.230,12.58,52120,2895,3258,15.1,79.43,20720,1046,1605,9.5,8.3,336.3,5982000
HP 400 x 158,158.0,356.0,394.0,18.0,18.0,20,320.0,280.0,201.4,2.218,13.93,46290,2600,2911,15.1,71.47,18370,932.5,1427,9.5,7.7,246.7,5240000
HP 400 x 140,140.0,352.0,392.0,16.0,16.0,20,320.0,280.0,178.6,2.206,15.61,40630,2308,2570,15,63.59,16070,820.3,1254,9.4,7.1,175,4533000
HP 400 x 122,122.0,348.0,390.0,14.0,14.0,20,320.0,280.0,155.9,2.194,17.75,35120,2018,2235,14.9,55.79,13850,710.4,1084,9.3,6.5,119.1,3860000
HP 360 x 180,180.0,362.9,378.8,21.1,21.1,20,320.6,280.6,229.5,2.164,11.94,53380,2941,3327,15.2,83.99,19140,1010,1554,9.1,8.6,382.6,5582000
HP 360 x 174,174.0,361.4,378.5,20.3,20.4,20,320.6,280.6,221.5,2.162,12.35,51350,2841,3208,15.1,80.81,18460,975.7,1499,9,8.4,344.9,5359000
HP 360 x 152,152.0,356.4,376.0,17.8,17.9,20,320.6,280.6,193.7,2.147,14.02,44310,2486,2789,15,70.84,15880,844.6,1295,9,7.7,234.8,4542000
HP 360 x 133,133.0,352.0,373.8,15.6,15.7,20,320.6,280.6,169.4,2.134,15.91,38320,2177,2427,14.9,62.17,13680,732,1120,8.9,7,160.2,3864000
HP 360 x 109,109.0,346.4,371.0,12.8,12.9,20,320.6,280.6,138.7,2.117,19.24,30970,1788,1978,14.8,51.28,10980,592.4,904.6,8.8,6.2,91.19,3052000
