Elongation [mm],Lode angle
0.528,-0.46233541479368717
0.522,-0.5092224507616503
0.516,-0.5419836792411026
0.51,-0.5668855401635695
0.504,-0.5869560777587258
0.498,-0.6038178262249296
0.492,-0.6183434744140681
0.486,-0.6310480122818962
0.48,-0.6421449768363336
0.474,-0.6516359394745446
0.468,-0.6588018460575865
0.462,-0.6624763158074213
0.456,-0.6643134060117268
0.45,-0.665326730953665
0.444,-0.6659025364595428
0.438,-0.6666171252777123
0.432,-0.667373415935352
0.426,-0.6680909683175487
0.42,-0.6686838316227777
0.414,-0.6691290575930438
0.408,-0.6694250287393352
0.402,-0.6695537652031892
0.396,-0.6695187474784825
0.39,-0.6693264639876481
0.384,-0.6689827436196107
0.378,-0.6684726450826949
0.372,-0.6678521448546234
0.366,-0.6670367531903856
0.36,-0.6661289698983958
0.354,-0.6650882167677786
0.348,-0.6639433505399209
0.342,-0.6626974925041965
0.336,-0.6613689745444573
0.33,-0.6599606405680457
0.324,-0.658500373643159
0.318,-0.6569435030861993
0.312,-0.6553635602454085
0.306,-0.6537496568389853
0.3,-0.65206906930238
0.294,-0.6503819795517606
0.288,-0.6486967026563748
0.282,-0.6469850690578817
0.276,-0.6452518534352798
0.27,-0.6435194705900278
0.264,-0.6417662775106838
0.258,-0.6399905686307404
0.252,-0.6381942594055355
0.246,-0.6363706166897402
0.24,-0.6345197617040683
0.234,-0.6326426667209659
0.228,-0.6307368593846279
0.222,-0.628802847476194
0.216,-0.6268510908748213
0.21,-0.6248500202466482
0.204,-0.6228489874825797
0.198,-0.6208005727126725
0.192,-0.6187544809093245
0.186,-0.6166727847295039
0.18,-0.6145743123976535
0.174,-0.6124597331358672
0.168,-0.6103288232470601
0.162,-0.6081836958971866
0.156,-0.6060258903440067
0.15,-0.6038560464265129
0.144,-0.6016753700947474
0.138,-0.599486158075662
0.132,-0.5972886922938478
0.126,-0.5950837650132618
0.12,-0.5928717324503227
0.114,-0.5906546580656277
0.108,-0.5884331335204716
0.102,-0.5862081897928921
0.096,-0.5839799124469489
0.09,-0.5817494578095175
0.084,-0.5795162960945413
0.078,-0.5772833483579236
0.072,-0.5750496182095455
0.066,-0.5728161586695646
0.06,-0.5705832184795068
0.054,-0.568351425527432
0.048,-0.566121305655181
0.042,-0.56389344373215
0.036,-0.5616741466159904
0.03,-0.5594616337721029
0.024,-0.5572529310074094
0.018,-0.5550466694248487
0.012,-0.5528418542185355
0.006,-0.5506415380411889
0.0,-0.548444580316754
0.006,-0.4387417412322111
0.012,-0.03401421664381409
0.018,-0.39484635242684774
0.024,0.8088622278875356
0.03,0.22993917739576666
0.036,0.10641572945905385
0.042,0.14676281867123236
0.048,0.21157900424396991
0.054,0.22568206219486253
0.06,0.26279995279901863
0.066,0.32116854302092807
0.072,0.3753276419962773
0.078,0.42050386316495914
0.084,0.45644739528855477
0.09,0.4820278581413324
0.096,0.5014662808282994
0.102,0.5174449903939571
0.108,0.5310844532252393
0.114,0.5426888487321796
0.12,0.5509796438112337
0.126,0.5557061573051122
0.132,0.559697614106038
0.138,0.5634668872669857
0.144,0.5671119310689995
0.15,0.5707889371145907
0.156,0.5747153084280432
0.162,0.578809163486135
0.168,0.5830864260986736
0.174,0.587551483264345
0.18,0.5921904119984356
0.186,0.5969942033391706
